time	V(n003)	V(n005)	I(I1)
4.932860691187378e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932986299347020e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.932987024358043e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.932987092327826e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.932987364206960e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.932988451723494e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.932989901745539e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.932990354877428e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.932990898635695e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.932990989262073e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.932991057231856e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.932991329110990e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.932997905996694e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.933004482882397e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.933011059768101e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.933017636653805e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.933024213539509e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.933030790425212e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.933037367310916e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.933043167399096e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.933045648296189e-002	1.515334e+000	4.996513e+000	2.499723e-004
4.933048129193281e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933050610090374e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933053090987466e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933055571884559e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933058052781651e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933060533678744e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933060601648527e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933060692274905e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933060873527661e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933061961044195e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933063411066239e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933063864198128e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933065359533363e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933065812665251e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933066265797141e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933066718929030e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933067172060919e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933067625192808e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933068078324698e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933068531456587e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933088514572896e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933088786452029e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933092638073086e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933093130044852e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933093622016617e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933094113988382e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933094605960147e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933095097931912e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933095589903678e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933096081875443e-002	1.515334e+000	4.996513e+000	2.499724e-004
4.933156189820526e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933156325760092e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933156578219287e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933156830678483e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933157083137679e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933157335596874e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933157588056069e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933157840515265e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933158092974460e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933158455479971e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933159724249261e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933160449260284e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933160517230067e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933160789109201e-002	1.515334e+000	4.996513e+000	2.499725e-004
4.933161151614712e-002	1.515334e+000	4.996513e+000	2.499725e-004
